key,pt,en
words.active,Ativo,Active
words.admin,Administrador,Administrator
words.away,Afastado,On leave
words.common,Simples,Simple
words.covering,Ferista,Vacation coverage worker
words.demanded,Demandada,Required
words.email,Email,Email
words.hiring,Contratando,Hiring
words.in,de,of
words.inactive,Inativo,Inactive
words.manager,Gestor,Manager
words.low,baixa,low
words.mid,média,medium
words.high,alta,high
words.own,Próprio,Company employee
words.password,Senha,Password
words.planning,Planejamento,Planning
words.positions,posições,positions
words.return,Retorno,Return
words.road,Estrada,Road
words.shift,Turno,Shift
words.signIn,Entrar,Enter
words.third,Terceiro,Third party employee
words.vacation,Férias,Vacation
words.solved,Resolvidos,Solved
words.all,Todos,All
words.alerts,Alertas,Alerts
words.toDelete,Deletar,Delete
words.toExclude,Excluir,Delete
words.toEdit,Editar,Edit
words.toSave,Salvar,Save
words.toCancel,Cancelar,Cancel
words.toConclude,Concluir,Conclude
words.toPublish,Publicar,Publish
words.dimensions,Dimensões,Dimensions
words.success,Sucesso,Success
words.partial,Parcial,Partial
words.undeterminable,Indefinido,TBD
words.name,Nome,Name
words.toContinue,Continuar,Continue
words.toCollapse,Recolher,Hide
words.toExpand,Expandir,Expand
words.concluded,Concluído,Finished
words.disagreement,"Diferença ",Difference
words.toMap,Mapear,To Map
words.autonomy,Autonomia,Autonomy
words.you,Você,You
words.result,Resultado,Result
words.selfMapping,Automapeamento,Self-mapping
words.toSearch,Pesquisar,Search
words.toFind,Buscar,Search
words.toClean,Limpar,Clean
words.profile,Perfil,Profile
words.toView,Visualizar,View
words.toChange,Alterar,Change
words.next,Próximo,Next
words.toMove,Mover,Move
words.responsible,Responsável,In charge
words.thereIs,Há,
words.completed,Completo,Complete
words.collective,Coletivo,Working Group
words.goBack,Voltar,Return
words.genericManager,Gestor(a),Manager
words.today,Hoje,Today
words.yesterday,Ontem,Yesterday
words.toApply,Aplicar,Apply
words.inProgress,Em andamento,In progress
words.at1,às,at
words.warning,Atenção,Attention
words.toFilter,Filtrar,Filter
words.toClose,Fechar,Close
words.tool,Ferramentas,Tools
words.toCreate,Criar,Create
words.seat,Cadeira,Position
words.actions,Ações,Actions
words.toRemake,Refazer,Redo
words.total,Total,Total
words.closeTab,Fechar aba,Close tab
plural.open_one,Aberta,Open
plural.open_other,Abertas,Open
plural.emphases_one,Ênfase,Enphasis on
plural.emphases_other,Ênfases,Enphases on
plural.functions_one,Função,Function
plural.functions_other,Funções,Functions
plural.others_one,Outro,Other
plural.others_other,Outros,Others
plural.people_one,Pessoa,Person
plural.people_other,Pessoas,Persons
plural.pending_one,Pendente,Pending
plural.pending_other,Pendentes,Pending
plural.selected_one,Selecionado,Selected
plural.selected_other,Selecionados,Selected
plural.day_one,{{dayCount}} Dia,{{dayCount}} Day
plural.day_other,{{dayCount}} Dias,{{dayCount}} Days
plural.month_one,{{monthCount}} Mês,{{monthCount}} Month
plural.month_other,{{monthCount}} Meses,{{monthCount}} Months
plural.year_one,{{yearCount}} Ano,{{yearCount}} Year
plural.year_other,{{yearCount}} Anos,{{yearCount}} Years
errorMessages.recoverySendEmail,Erro ao enviar email de recuperação de senha,Error in sending the password recovery email
errorMessages.createCollective,Erro ao tentar criar o coletivo,Error in trying to create the working group
errorMessages.noEqualPassword,As senhas devem ser iguais,The passwords must be the same
errorMessages.unsupportedFormat,Formato não suportado,Format not supported
errorMessages.importFail,Ocorreu um erro inesperado na importação do arquivo,Unexpected error to import the file
errorMessages.notFoundFunctionName,Não há função cadastrada com este nome!,There is no function with this name in the database!
errorMessages.notFoundFunctionPlace,Não há local cadastrado para esta função!,There is not a local associated to this function in the database!
errorMessages.notFoundPeopleName,Não existe pessoa criada com este nome!,There is not a person with this name in the database!
errorMessages.notFoundBondName,Não há vínculo contratual cadastrado com este nome!,"There is no labor contract with this name in the database! "
errorMessages.notFoundHourName,Não há horário cadastrado com este nome!,There is no working hours in the database with this name!
errorMessages.notFoundPlaceName,Não há local cadastrado com este nome!,There is no location with this name in the database !
errorMessages.notFoundThirdPartyName,Não há empresa terceira cadastrada com este nome!,There is no third party with this name in the database!
errorMessages.functionIsAlreadySelected,"Esta função já está selecionada, selecione outra função!",This function is already selected. Select another one!
errorMessages.canNotMoveTheSeat,Não é possível mover a cadeira para este coletivo!,It is impossible to move this position to this working group!
errorMessages.canNotDeleteTheSeat,Não é possível mover a cadeira para este coletivo!,It is impossible to move this position to this working group!
errorMessages.canNotBeTheSame,Não pode ser igual,It cannot be the same
errorMessages.chooseAnotherPlace,Escolher outro local,Choose another location
errorMessages.minimumFileSizeSupported,Tamanho máximo suportado do arquivo é de {{mbSize}}MB,Maximum accepted file size is {{mbSize}}MB
errorMessages.supportedImageFile,Aceitamos apenas arquivos no formato PNG ou JPEG,We only accept files in PNG or JPEG format.
errorMessages.requiredChooseAManager,Você deve escolher um gestor,You must choose a manager
errorMessages.numberOfErrorsFoundOnSheet,Foram encontrados {{number}} erros nesta planilha. Corrija-os e importe novamente,{{number}} errors were found in this worksheet. Fix them and re-import
errorMessages.onlyResponsibleCanSeeTheMapping,Apenas o responsável pelo mapeamento desta pessoa consegue acessar a área para o seu mapeamento no nível da função,Only the person in charge of mapping this person has access to the mapping area at the function level
errorMessages.doNotShowItAgain,Não mostrar novamente,Do not show again
errorMessages.unexpectedErrorToSearchODT,"Erro inesperado ao buscar a Visal Local, tente atualizar a página.","Unexpected error fetching Frontline View, try refreshing the page."
containers.peopleLevel,Nível de autonomia atual da pessoa,Person's current level of autonomy
containers.realAutonomy,Autonomia Real,Current Autonomy
containers.plannedAutonomy,Autonomia Planejada,Planned Autonomy
containers.positionLevel,Nível de autonomia planejada para esta posição,Level of autonomy planned for this position
containers.ofThisFunction,desta função,of this function
containers.specificFocus,Foco específico,Specific focus
containers.missingDays_one,falta {{count}} dia,{{count}} day left
containers.missingDays_others,faltam {{count}} dias,{{count}} days left
containers.placeFunction,Local onde a função,Location where the function
containers.isExercised,é exercida,is carried out
containers.viewLess,ver menos,see less
containers.viewAll,ver todas,see all
containers.workplace,Local de trabalho,Workplace
containers.mappedTeam,da equipe mapeada,of the mapped team
containers.toOpenActivities,a abrir atividades,activities to be identified
containers.withoutOpenFunctions,Sem atividades abertas,Activities to be identified
containers.allFunctionsOpen,Atividades abertas,Activities identified
