key,value
examples.simpleText,This is a simple text
examples.externalValue,Display external {{something}} 
examples.Interpolation ,{{what}} is {{how}}
examples.simplePlural_one,Has only one item on count key
examples.simplePlural_other,Has multiples items on count key
examples.pluralWithValue_one,{{count}} item
examples.pluralWithValue_other,{{count}} items
examples.keyCalled,first $t(nesting)
examples.nesting,second
examples.contextKey_male,He is something
examples.contextKey_female,She is something
words.active,Ativo
words.admin,Administrador
words.away,Afastado
words.common,Simples
words.covering,Ferista
words.demanded,Demandada
words.email,E-mail
words.hiring,Contratando
words.in,de
words.inactive,Inativo
words.manager,Gestor
words.low,baixa
words.mid,média
words.high,alta
words.own,Próprio
words.password,Senha
words.planning,Planejamento
words.positions,posições
words.return,Retorno
words.road,Estrada
words.shift,Turno
words.signIn,Entrar
words.third,Terceiro
words.vacation,Férias
words.solved,Resolvidos
words.all,Todos
words.alerts,Alertas
words.toDelete,Deletar
words.toExclude,Excluir
words.toEdit,Editar
words.toSave,Salvar
words.toCancel,Cancelar
words.toConclude,Concluir
words.toPublish,Publicar
words.dimensions,Dimensões
words.success,Sucesso
words.partial,Parcial
words.undeterminable,Indefinido
words.name,Nome
words.toContinue,Continuar
words.toCollapse,Recolher
words.toExpand,Expandir
words.concluded,Concluído
words.disagreement,Discordância
words.toMap,Mapear
words.autonomy,Autonomia
words.you,Você
words.result,Resultado
words.selfMapping,Automapeamento
words.toSearch,Pesquisar
words.toFind,Buscar
words.toClean,Limpar
words.profile,Perfil
words.toView,Visualizar
words.toChange,Alterar
words.next,Próximo
words.toMove,Mover
words.responsible,Responsável
words.thereIs,Há
words.completed,Completo
words.collective,Coletivo
words.goBack,Voltar
words.genericManager,Gestor(a)
words.today,Hoje
words.yesterday,Ontem
words.toApply,Aplicar
words.inProgress,Em andamento
words.at1,às
words.warning,Atenção
words.toFilter,Filtrar
words.toClose,Fechar
words.tool,Ferramentas
words.toCreate,Criar
words.seat,Cadeira
words.actions,Ações
words.toRemake,Refazer
words.total,Total
words.closeTab,Fechar aba
plural.open_one,Aberta
plural.open_other,Abertas
plural.emphases_one,Ênfase
plural.emphases_other,Ênfases
plural.functions_one,Função
plural.functions_other,Funções
plural.others_one,Outro
plural.others_other,Outros
plural.people_one,Pessoa
plural.people_other,Pessoas
plural.pending_one,Pendente
plural.pending_other,Pendentes
plural.selected_one,Selecionado
plural.selected_other,Selecionados
plural.day_one,{{dayCount}} Dia
plural.day_other,{{dayCount}} Dias
plural.month_one,{{monthCount}} Mês
plural.month_other,{{monthCount}} Meses
plural.year_one,{{yearCount}} Ano
plural.year_other,{{yearCount}} Anos
errorMessages.recoverySendEmail,Erro ao enviar e-mail de recuperação de senha
errorMessages.createCollective,Erro ao tentar criar o coletivo
errorMessages.noEqualPassword,As senhas devem ser iguais
errorMessages.unsupportedFormat,Formato não suportado
errorMessages.importFail,Ocorreu um erro inesperado na importação do arquivo
errorMessages.notFoundFunctionName,Não há função cadastrada com este nome!
errorMessages.notFoundFunctionPlace,Não há local cadastrado para esta função!
errorMessages.notFoundPeopleName,Não existe pessoa criada com este nome!
errorMessages.notFoundBondName,Não há vínculo cadastrado com este nome!
errorMessages.notFoundHourName,Não há horário cadastrado com este nome!
errorMessages.notFoundPlaceName,Não há local cadastrado com este nome!
errorMessages.notFoundThirdPartyName,Não há empresa terceira cadastrada com este nome!
errorMessages.functionIsAlreadySelected,"Esta função já está selecionada, selecione outra função!"
errorMessages.canNotMoveTheSeat,Não é possível mover a cadeira para este coletivo!
errorMessages.canNotDeleteTheSeat,Não é possível mover a cadeira para este coletivo!
errorMessages.canNotBeTheSame,Não pode ser igual
errorMessages.chooseAnotherPlace,Escolher outro local
errorMessages.minimumFileSizeSupported,Tamanho máximo suportado do arquivo é de {{mbSize}}MB
errorMessages.supportedImageFile,Aceitamos apenas arquivos no formato PNG ou JPEG
